"time","HR","FP1AlphaMean","FP1BetaMean","FP1ThetaMean","FP1DeltaMean","FP2AlphaMean","FP2BetaMean","FP2ThetaMean","FP2DeltaMean","F7AlphaMean","F7BetaMean","F7ThetaMean","F7DeltaMean","F3AlphaMean","F3BetaMean","F3ThetaMean","F3DeltaMean","FzAlphaMean","FzBetaMean","FzThetaMean","FzDeltaMean","F4AlphaMean","F4BetaMean","F4ThetaMean","F4DeltaMean","F8AlphaMean","F8BetaMean","F8ThetaMean","F8DeltaMean","T3AlphaMean","T3BetaMean","T3ThetaMean","T3DeltaMean","C3AlphaMean","C3BetaMean","C3ThetaMean","C3DeltaMean","CzAlphaMean","CzBetaMean","CzThetaMean","CzDeltaMean","C4AlphaMean","C4BetaMean","C4ThetaMean","C4DeltaMean","T4AlphaMean","T4BetaMean","T4ThetaMean","T4DeltaMean","T5AlphaMean","T5BetaMean","T5ThetaMean","T5DeltaMean","P3AlphaMean","P3BetaMean","P3ThetaMean","P3DeltaMean","PZAlphaMean","PZBetaMean","PZThetaMean","PZDeltaMean","P4AlphaMean","P4BetaMean","P4ThetaMean","P4DeltaMean","T6AlphaMean","T6BetaMean","T6ThetaMean","T6DeltaMean","O1AlphaMean","O1BetaMean","O1ThetaMean","O1DeltaMean","O2AlphaMean","O2BetaMean","O2ThetaMean","O2DeltaMean","A1AlphaMean","A1BetaMean","A1ThetaMean","A1DeltaMean","A2AlphaMean","A2BetaMean","A2ThetaMean","A2DeltaMean","MediOrStory","SC","ST","Resp","HRV"
1,99.745,199.632841959877,79.9928741375258,129.964434542015,267.93306284721,181.409188918772,85.1371427239538,199.78140849148,226.381783105688,219.628624928128,123.46136652278,122.680115256048,303.601249270798,215.10472282868,78.4743048248999,137.668165508653,137.193345095812,211.362941412997,69.2531073628558,137.18122587906,165.701126186866,200.054619381312,71.6957113680498,157.742557668659,359.278795967875,128.178987055902,100.121130508688,154.607940483784,359.115319391197,128.278050852405,123.169253974949,92.1584905580519,148.385658865451,134.796373076595,66.4171364185816,96.911208247595,113.845064764016,236.615234300357,69.3917717284918,153.210307813439,200.941531085101,172.027634116615,74.4377305136084,122.85435461533,175.626734179946,81.6658354308108,79.6119512814552,192.374386775353,205.666095325278,180.773890417329,119.052904011012,146.513282935094,236.592113046942,113.359986423259,84.9190721858029,143.938426589855,278.1860249642,246.538826507947,85.3084716823126,114.201505191824,245.844159784952,341.332115906886,137.958575184523,119.643931373548,148.693172596247,360.977975249406,143.143931952734,114.604893792488,143.071561473105,332.279786322409,150.006680205864,126.774456191016,431.580080924251,356.255843318769,143.009763256961,122.919394782597,137.10299787977,288.709654663236,127.734022693145,166.483450893525,236.687663278741,296.253355433402,135.176183689411,156.20454961919,349.173641821011,"1",2.423,0.997912317327766,5.294,0
2,72.069,114.348221437954,86.1741916471803,163.515183527003,462.501391305984,101.376679815897,91.506157648356,139.484508195373,434.691177992508,141.010921446119,128.719489428678,85.8629758141517,168.180170556668,149.238561131051,91.6944751790361,121.119282337289,154.087169503021,142.680595942503,96.8723103667061,129.079808058721,99.0981040730199,127.570830224225,97.4871345130372,115.931613316899,184.711317637865,71.6779355169791,85.8646427233313,128.605873508582,342.008697318971,149.498230237523,96.6457067334212,92.3481022789779,217.616796408165,140.562236408723,87.2780011826216,119.591474994628,130.696585941913,165.498796492112,72.8478398213468,123.157058608699,175.768148924117,121.515066396856,59.849758675627,93.0090523980834,138.572282447206,78.5937576025205,80.1083070082178,114.003801271117,228.675331895785,175.079089686642,127.055169233993,77.8368662885398,236.683975364477,135.645484579544,113.747657801793,175.78882066627,308.236700344899,178.237241618465,87.3017075427804,173.335549719439,230.853678880419,287.344708387956,161.618790186394,115.424762696706,107.964916896144,297.514365814356,163.166820542423,117.434156893588,107.273051084782,322.565709815281,135.78247021139,115.655782469938,325.938898087911,303.257273874615,160.823223383338,121.249939511206,106.587929850419,215.858723947036,137.493831394758,162.875367787036,226.743536800589,257.70169124281,149.752030701038,145.925311036093,231.735204894084,"1",2.422,0.993745687057241,5.294,765.960976
3,65.09,133.699726670677,112.354394012092,169.894794272976,1906.95128622354,123.737573267739,114.461416599982,136.85770102668,1399.90649243679,111.708072583393,177.683483858951,110.417280000688,690.384539240476,164.667749974849,109.434482124596,146.547788797626,265.898222739598,122.228531815017,94.5364159663781,120.091865282706,311.044135885455,119.533516828145,103.219159935134,123.071120676003,339.169481087921,143.484572961297,101.022641586436,144.977467656612,772.025154222856,155.160641666113,129.669871984841,137.510856884592,444.629310931225,122.777008646192,75.6039739669772,88.9918528337124,324.383689219055,141.777660381615,70.6842994383035,152.604218392711,381.224541232323,106.684071992234,67.9111159067785,88.9233421497224,276.602204849122,98.1781361597356,82.8362734649502,65.7909088295817,178.348072078901,207.724978116689,150.796598515184,130.203816793067,500.915302529014,130.170911949327,96.2794738790978,138.612197642629,517.486652744651,172.666762804675,89.2122497636071,113.453996269377,387.930770516598,318.447361808943,143.316137433684,89.1734285062655,452.328380758102,321.96879640027,146.594253470919,81.5322175001915,440.809372435401,244.766357151914,215.041805486033,135.63341676126,568.92341958137,327.740948271538,145.935226432594,84.9813563783788,449.051806287391,285.849931395233,164.996202917059,175.394173234772,663.535229532438,206.823814695846,126.875047287102,141.165140588129,525.502681234331,"1",2.42100836820084,0.989579056786716,5.294,407.3337085
4,64.543,208.810499511172,90.1742975617806,125.090485530383,467.161305752382,206.273449968656,73.1270600791098,153.784762906769,346.792055888717,222.823406986929,187.023968222452,145.248122040194,335.054277435913,256.825209424043,93.8821051578022,143.131587228983,140.581837040442,228.456586026546,75.4673840128751,182.569817131665,186.765069103265,195.071339709035,83.0984815109482,189.085162406091,211.791677640592,191.804506311741,74.2267033750234,98.8617411595742,255.930278841709,181.455262157687,137.821544383136,78.8360504864143,158.336803046841,164.439292013753,67.4892087060149,154.703885604741,117.767840187433,173.217455371499,70.3745778559025,203.47465751797,139.211027291089,176.515986569234,73.8397784006674,116.126984857864,85.3164666551428,192.524519778168,91.8768375321173,182.717390340281,353.436392554698,217.065326919223,115.898733468209,140.394668412065,283.256527939892,157.553474475646,75.8405664275264,163.918683373849,220.988358774978,297.135262556003,75.6320604904128,156.01904474953,214.763642149859,412.401289488166,95.8811058790642,165.778116024177,243.330733532496,428.939313736951,101.175219114673,170.725546113936,240.905193765228,441.842495453968,178.339540787271,220.691614425825,354.589560335832,431.020922463617,98.2306380029303,171.947633851674,248.25666801704,291.474623706814,119.224445262595,181.027084278403,225.552737895972,345.280484228333,126.274371516929,249.548984724286,192.416845528797,"1",2.421,0.98541242651619,5.294,271.655542
5,66.788,497.650283863842,97.8434741518108,354.021172452571,769.13346194781,462.25923639884,109.048568027051,307.133827873791,678.280936600554,470.580055916012,177.054120833261,401.427328382541,395.402348774537,597.93592398456,103.297550299896,604.880812265103,438.124469845158,617.324157893881,99.3213905288384,397.499983740547,617.046939288963,713.887714537037,151.436559534789,440.83979820689,871.365434751441,503.426671871392,133.243932525125,421.691572770939,670.323640251575,333.211664705837,166.493599855554,285.333182844789,296.151670932136,245.870348377899,76.0097987577642,352.645079828406,173.337065285955,136.891601894862,61.2335565657562,260.52204593627,341.821809359196,223.833991800834,79.3806017603912,197.919587480545,226.799736154274,380.091696279004,139.010793900108,501.414591760663,442.327661184599,295.583635276707,115.395768415306,274.976111460727,468.150391922395,216.821503359458,107.543158471399,452.623637328838,432.777317821915,316.03677123864,127.229557811931,344.123468615438,401.710774984635,583.326311996053,126.182083501181,390.228397182736,440.905532574369,598.465341643594,131.197316301246,405.681442950815,451.842236385144,549.174358147729,165.838152761138,345.11022360191,623.606648671878,602.868683545333,130.421722038299,398.201209561997,454.013230143758,376.045416411985,138.82620485621,341.121307586176,428.345539594131,528.144099515613,183.130705636623,517.3107168315,626.649915713948,"1",2.42198326359833,0.981245796245665,5.294,205.00166275
6,73.7279665271967,371.865270621119,89.548383736462,173.630687029716,344.654436546004,393.68321084379,79.2990740473822,177.990265906644,239.380420881787,392.758331068789,151.20175566401,235.745671471721,199.479405871241,341.887765851731,111.626402114132,225.325470415553,218.209160326,328.859061438778,93.3024244287961,183.114037521262,232.140218311541,309.708621735626,95.9561144391313,246.785498310762,282.842964169233,319.723351866513,86.2561338955506,166.465234385521,132.079630870984,289.822238426645,136.049556600337,191.946051401515,160.27374814046,214.511768754764,67.6461833491823,155.4031277703,87.8660046092332,218.8866224433,78.3344588409832,93.7886107926677,88.6636304806476,135.318885030783,74.6415251999986,147.203850699691,90.7836038792088,226.461316922214,86.4601639756046,165.019324219227,309.230363234069,243.555431604339,131.651789285372,193.538887770377,188.725521851605,197.117364900555,111.055270919131,143.65887712418,210.107009827427,258.151981975085,105.922081196916,114.19586922182,153.684869242483,513.677663942895,123.916647094482,204.258101022358,138.94443007602,522.172468587588,123.621610887496,225.13082954587,141.553409878083,631.929033071702,171.781047695373,226.601319670329,261.31972364733,521.477100020792,124.869283133868,211.344964450949,150.380159920208,332.849422025657,123.362775439725,261.098128073453,221.386571830776,368.196949545894,150.273155588155,176.71293841981,187.876112933061,"1",2.42102092050209,0.97707916597514,5.294,173.633957279722
7,75.989920502092,164.384741309267,83.656742064551,396.343002322653,879.224097764539,176.224723929738,84.5652482181242,258.296126347596,667.79193141136,129.276213283025,134.455821118217,178.366654737893,289.736278667723,167.33734285644,85.9236395398215,119.611143600912,177.594556559772,184.532609809187,91.1008778168384,92.141998519672,200.01511308232,194.174805305046,101.640241004822,133.802851359744,216.256678669168,127.136382644485,98.6368710378364,150.51904986255,405.623878562637,122.162082527953,144.66292701002,128.542452702279,244.838626517392,88.2427416266913,79.1210924462621,132.04208733925,170.180637128404,145.320059121965,70.1057490914087,167.688697271685,193.459625974864,118.704619361045,69.76029834543,180.010413994628,231.782876220669,93.542184297894,89.7532928426566,142.41259726007,302.699734905707,210.4106587059,135.858863184876,178.536297185443,256.202781987086,81.2953718221741,86.5866328159451,127.130580320062,336.76525245664,154.703310254495,69.2319391335107,197.892471253292,295.99723196839,247.456883754614,124.661036534836,115.616852256654,257.557140905797,255.656195036287,127.22076395365,117.556753269851,259.550661829058,284.003390601564,149.485098753096,140.568355922881,279.686113718539,253.493835644513,129.47844815543,124.117083446019,259.220286123164,225.946709220718,127.375185308813,139.85236490939,194.80208310823,208.643940774079,121.949579769439,282.487414598175,337.975043429196,"1",2.42002510460251,0.972912535704615,5.294,145.547703697193
8,79.18,126.616396019468,88.3597692998804,219.11045803631,1644.49588289648,118.590123638279,95.0167173169117,131.952685317803,1091.76172537338,110.419296459354,139.2169592106,154.857262114529,562.731567411291,94.1838732251422,100.824153287683,100.20518494608,261.046884685915,89.8640602778631,95.9309134368121,103.62330786662,275.324604460818,89.2961087558897,98.5606964648335,164.459734357588,275.570986877946,117.58547431539,82.1467303194152,92.2217831883365,433.906824411517,121.272718426767,93.3048047455755,95.0977343421136,176.099275150209,116.431374961319,99.0675122066454,83.6057219818184,203.393461960741,113.31891747274,71.8196879954463,126.345111561028,247.809845048404,88.3060425072543,67.1990827605677,132.285762837928,239.876931362565,142.574582033812,83.0492731364462,157.951955752683,368.442979300448,158.37273052031,131.562174239911,110.014201702633,389.049662016382,159.665322901721,99.9035269430813,72.7172219654537,317.59322420478,158.048155838182,60.5367858338438,136.606135410507,330.66862791655,239.75631191931,178.214109987899,100.524959123683,429.445774554476,253.255932445965,186.210109594689,101.612261435493,436.0558227295,178.248559358655,152.575790036285,156.277145477686,555.772224177026,250.156014822816,184.056176249945,104.147154387258,438.656061032633,186.734462879456,140.912068278943,190.443781265223,495.037043949776,227.465173379545,175.647473222408,124.621360056353,612.951161424246,"1",2.42,0.96874590543409,5.294,126.20897562659
9,78.543079497908,80.1452867351855,73.3538894583008,133.226733266938,215.031285062563,119.731238320987,72.1577102798116,107.493560605344,201.995847960055,43.4509000900316,119.349900359791,122.651591594849,137.895066157312,86.4379045033843,71.0298845802458,97.8951883601025,159.666352066529,88.5628977486164,62.4315465660488,115.769506208058,231.952367659499,118.208277904194,87.9262282936566,93.1790817430325,196.367552554982,115.95927956445,81.9393320513028,120.079852047755,216.814049760866,131.592452779881,120.649482225993,117.132653090366,137.045663097775,104.394370991848,65.0327201921858,81.3087121574399,189.479754338194,134.96444478367,52.1749961170337,140.168168978528,244.881143265492,88.5737990095086,60.2697348806831,112.663688345675,155.759813711533,65.6514214331031,106.465399769706,110.586381423542,289.018321147159,101.556467039524,90.4479506137602,101.307849800067,157.349830804184,146.707574820671,89.4007988074754,129.749824143812,185.301204548696,136.353877955598,58.4555210140047,144.922469909132,206.508237445539,165.157750294878,92.1626391469801,86.2968085061819,115.902275686529,180.146550954367,94.1713666222697,87.5627367925058,131.048822480773,135.514443437332,128.584755108328,168.536285309533,224.090794756017,179.089286490807,91.8072133190554,86.3680388568485,136.359849119637,119.045751364835,116.80020149462,143.458217539183,281.156972716095,166.428471110335,95.4148398415081,145.137644102409,342.711933931194,"1",2.419,0.964579275163564,5.294,110.483562139014
10,87.9078577405858,75.6385291905205,84.3247620560303,141.216615044387,142.534703204665,83.4230305722707,76.8253397692245,154.117034015635,171.355133727375,112.459158853409,138.189440817105,165.703150413248,158.110622982022,84.8062524221476,91.3018273058339,135.5325004315,162.730065571826,78.8912542967126,76.0998118168065,153.573302875209,180.734634249544,102.238818523107,73.9671865290645,201.23912656975,125.592901441414,79.7195716999621,73.5213136748187,91.0493009412955,151.95908934691,130.746545335777,126.934615042582,77.9864185489995,203.987537484156,74.771048472703,71.0115019500325,68.2693788576181,162.828360969441,54.5326497731829,53.3682387121068,86.2408721271724,103.965892249041,48.3612692906967,56.2310588433906,76.4613474090045,91.0792081303451,114.517671885803,79.8513804431175,129.240943484814,549.041700984872,83.1860650361475,76.3632015370019,189.537718201149,162.428139279503,91.7911216001537,83.9414903497277,185.181815636037,242.502462613331,93.6780647459782,52.3092780572912,182.580865134184,102.525920543657,95.4689133964898,98.5185381452319,83.0826176714721,192.834708251556,86.3866992286779,99.7740709170002,74.9375993856368,204.017225557038,94.515507110461,94.9016246069085,198.231997919443,208.034023533009,91.4942141363416,99.9319920126791,75.6383444302118,203.600949170017,118.687334551296,102.971200180347,198.017889587604,233.976535784371,173.345809360586,118.017508734988,126.637421892263,247.724836977547,"1",2.41607531380753,0.960412644893039,5.294,107.951952071849
