"time","HR","FP1AlphaMean","FP1BetaMean","FP1ThetaMean","FP1DeltaMean","FP2AlphaMean","FP2BetaMean","FP2ThetaMean","FP2DeltaMean","F7AlphaMean","F7BetaMean","F7ThetaMean","F7DeltaMean","F3AlphaMean","F3BetaMean","F3ThetaMean","F3DeltaMean","FzAlphaMean","FzBetaMean","FzThetaMean","FzDeltaMean","F4AlphaMean","F4BetaMean","F4ThetaMean","F4DeltaMean","F8AlphaMean","F8BetaMean","F8ThetaMean","F8DeltaMean","T3AlphaMean","T3BetaMean","T3ThetaMean","T3DeltaMean","C3AlphaMean","C3BetaMean","C3ThetaMean","C3DeltaMean","CzAlphaMean","CzBetaMean","CzThetaMean","CzDeltaMean","C4AlphaMean","C4BetaMean","C4ThetaMean","C4DeltaMean","T4AlphaMean","T4BetaMean","T4ThetaMean","T4DeltaMean","T5AlphaMean","T5BetaMean","T5ThetaMean","T5DeltaMean","P3AlphaMean","P3BetaMean","P3ThetaMean","P3DeltaMean","PZAlphaMean","PZBetaMean","PZThetaMean","PZDeltaMean","P4AlphaMean","P4BetaMean","P4ThetaMean","P4DeltaMean","T6AlphaMean","T6BetaMean","T6ThetaMean","T6DeltaMean","O1AlphaMean","O1BetaMean","O1ThetaMean","O1DeltaMean","O2AlphaMean","O2BetaMean","O2ThetaMean","O2DeltaMean","A1AlphaMean","A1BetaMean","A1ThetaMean","A1DeltaMean","A2AlphaMean","A2BetaMean","A2ThetaMean","A2DeltaMean","MediOrStory","SC","ST","Resp","HRV"
1,74.568,111.235582588599,100.813521796071,197.403296692022,195.166719417448,124.599476989387,97.0585092242029,160.686479495306,282.90188525451,145.959093613022,101.376925135682,216.187095799708,185.197395846475,109.648000490949,90.9877295206269,192.430198147572,191.269551935063,95.5963961896691,87.2176507466678,225.927518977086,255.152746521018,135.720837547597,82.9606945768296,168.557307150994,318.549975315167,129.506364838755,81.2803286721944,163.123447489776,284.067815251652,168.139486931496,89.3921612401326,158.366593729417,122.401625490036,234.983576906884,75.3913653498978,102.084351577939,110.427927159012,134.987293831004,89.2989554230547,177.535530265168,351.941205510929,121.248908838662,74.8695134809596,157.829324395998,233.048092466918,116.482241847586,77.8361769239051,143.432793959316,131.299287946427,167.649405078769,138.048237229506,138.895791361477,462.266469099034,308.857320373865,98.1760718318844,141.230651493543,236.479486554448,189.310046195207,77.6914424421373,187.323544957356,237.066790016522,171.965981597893,67.9377607197454,165.83402805821,156.263044336362,281.916141807534,83.7230592408969,192.457292828171,211.986933472171,193.023990640778,167.915387199487,158.973132644857,268.258267613238,333.651681292521,132.95986396044,233.149154695966,306.076511165524,253.611167954613,145.396983730741,143.049124580235,184.612175686623,377.143483440842,134.304923901439,277.083485885913,269.944056106519,"1",4.555,0.997912317327766,5.931,0
2,74.5942719665272,127.166273941856,97.0622056840337,244.177802579299,700.452873724015,132.001189614536,96.2326769763673,210.301682303279,656.27157556315,154.972875844623,90.2759182442157,205.494402835549,573.084029010683,150.309767429654,84.5138046360637,175.72115822861,110.057015011482,190.88870233847,96.8835290808774,232.74378943012,268.102405271902,192.772209861389,95.2762479415483,234.264122540365,378.921455573888,182.967062934803,178.346020183953,170.902042403447,580.632831564965,147.745063199183,91.6763066306587,105.751328411248,247.169984527048,178.277699624196,87.6809849730298,80.8715926763049,303.851187421896,165.821543196289,87.8400713977964,201.940409400382,444.804685094374,164.11235621267,120.501590154701,166.698113714611,155.060623154554,164.160631823966,215.24872900282,216.546356475415,263.977055032841,176.255038681498,105.28146383869,344.835643818138,433.179188410213,247.009671344956,129.770421997733,196.64850313112,410.252692647383,193.400236885216,109.866955850465,111.549374258469,281.105527177934,125.99799780446,102.463114751286,129.957955783898,193.313506215898,219.7957417302,86.1991207650396,193.231751228183,237.021929696916,262.932409795735,148.346445035878,228.503833165238,429.950458616621,263.186325525603,132.302824571851,182.077409390473,410.463777433573,233.329933718144,133.097662977049,258.035734001359,344.662168274228,299.129852087782,149.268969870657,279.802128746458,544.413287690918,"1",4.55097907949791,0.993745687057241,5.931,0.000690216225205803
3,57.8897447698745,140.998268303844,63.8779108420819,295.83657957619,596.500439102169,153.222771345785,64.6001864908869,212.826025453202,461.036069749238,270.613928462109,98.0375546884742,268.268148431255,550.194095703442,191.628915625797,79.4679714755488,152.320352267582,271.662532723763,275.777302693056,62.6264947784014,80.7211999495591,142.361744662512,191.483518215104,89.9827906865518,171.648625429008,216.584702073123,143.228892208627,129.513908554134,255.296471934303,400.737072917675,186.791589037057,119.922349181109,154.369324122327,331.537151946571,206.892237620198,85.1846247489093,84.7363314111505,239.556926082521,324.473360939985,67.4649863247781,104.673563395247,500.732863444435,207.953133989528,182.151090874373,179.739237778254,325.827417646202,357.757470041333,207.787259345926,142.110211869732,283.115634478039,190.959731199501,104.239703319709,156.921777998128,443.157772012952,153.762190221689,84.6162412558842,104.273733037252,229.597441541423,134.280123582481,59.2718594349248,96.9902406225644,136.376250276603,180.495448255821,85.2860215157885,141.662447083236,153.374958244842,255.951405482749,116.138576231122,146.003896787288,205.891179508958,256.758081011809,92.7252775776226,99.2875597462802,261.744217892855,331.934360599488,110.133493832877,113.115628218454,260.062195987454,274.556930199038,99.9399373925155,172.880871954645,436.448579792395,294.385319249157,135.848326228674,232.493745697948,268.669217555631,"1",4.6107489539749,0.989579056786716,5.29933054393305,139.520959539968
4,61.8873933054393,263.695139509082,70.1961438494773,246.589841212244,692.675707914756,240.231445617886,66.0762828575109,207.449224947269,416.586204867351,194.743274966199,81.4328607730487,206.585306221538,611.481392370915,188.932553151261,79.6826327156659,146.712046595509,211.091704501429,181.591963223996,66.6129568354628,179.78456195104,182.293163385296,126.536875359407,74.9193010778898,160.698145501743,153.65715203654,211.587585944727,166.743035062455,216.34819449592,201.43970713381,132.044956982957,87.3950452539744,107.367684502842,116.766665894472,171.302684887082,68.435503470577,97.6976881195047,240.235311641453,213.788225361254,80.7778386709879,183.932163868425,392.823859532016,162.282614241617,183.273019691096,164.622735633069,106.045925550434,221.106463947629,230.353198310375,193.231322369164,315.231365322772,245.847958919892,98.4923848549245,211.127704441383,183.02701835136,227.84125118809,75.4905225209661,205.644514120952,285.109458006594,187.794031740821,58.5531458324658,141.064694372251,158.210411793334,179.609024649601,88.2719596943644,120.329250195404,161.646636706707,220.564316936476,88.4466819881356,192.988720683747,220.001092766778,367.601661284573,133.806312713801,156.902939630863,298.011912819697,352.986708114228,92.0136509791368,180.246306697758,242.232611900672,188.146901846114,114.953853995574,144.009231441109,430.546049522278,296.230356281113,108.311900335603,185.060602537703,300.146151963031,"1",4.61508786610879,0.98541242651619,5.294,98.3410376312796
5,58.6863807531381,162.820449384671,101.788417502765,251.9494451549,410.028853488679,162.387081918444,87.2722799365712,238.83764751466,339.520904627214,206.593544046575,163.166881395994,282.928970702767,470.176661360783,255.452449006163,192.002985065694,213.421586555524,116.337669679584,197.121524208633,93.2406448121672,175.393377242392,143.907070361492,219.094357132042,103.066659489859,213.243427102408,314.256868386938,226.004623856392,191.66484033994,258.632776168534,426.817884262534,186.078851022082,143.868883756766,158.060226058461,230.66846242198,205.005209457237,144.074466652722,103.782716617816,176.893564049759,238.177840116615,108.930938303692,94.2572032033271,326.247736307682,236.03010504196,147.865268309527,128.132580092848,278.755369118491,193.867618666652,210.203726329427,169.565962567211,268.45349730635,353.221008023696,123.156384179767,251.751392703264,703.23206568857,259.568413649199,108.722977965839,230.405561981647,227.872351401315,144.608848371922,80.8350232893491,143.133660390455,166.274292115862,180.495398910629,72.3128223103976,95.3762620136802,203.588387746833,307.609862411323,109.329350658436,119.020627591939,188.531745048503,440.744585709077,167.385933179889,299.771484994006,229.025981405808,428.484296254425,135.962717303967,232.944906210362,188.687355135823,353.790154823683,145.629370158406,216.108126833372,444.896134480232,359.306942529587,147.457997492372,373.916159910883,250.587001817043,"1",4.58226778242678,0.981245796245665,5.294,76.3173985634573
6,55.322690376569,252.178457508396,114.558849731393,259.490692977127,547.230722998749,233.972370395125,98.0020921658993,186.858088483015,326.889261308601,190.484643975774,125.455320651586,219.090955786575,380.132035827243,224.987531850645,149.546096655941,217.126070886638,339.946582821504,233.727823908129,101.796498041118,166.099696947644,211.305316932192,220.96656561145,102.141150361573,188.295037746562,144.839230778163,241.79875927645,169.12482129339,145.925416304029,376.140333743841,195.57590275894,124.181313656543,268.349619458194,231.239206977352,236.847446642126,141.56783562751,205.033484318667,262.220573331006,253.594708139958,107.108060365356,298.169982109437,440.645897192484,201.577291993551,173.332178704186,250.790518560542,250.590944882216,168.4518125035,202.779746513731,173.595224977632,309.616346840647,298.710376944734,132.649683705158,150.856143747757,208.209412339824,245.68892562093,130.058561340811,174.153842020569,225.751915189703,248.87942028766,91.0898733229503,148.901348921626,197.017920472026,194.610097424143,81.3765449714191,130.002549400485,217.7539774857,319.288805972502,128.728106814988,153.773195372504,360.019674413612,322.955324253106,136.824552486354,142.550078956366,299.207896352787,306.570024179119,120.319324520413,178.801470446565,229.112326681753,345.70946634851,154.281077885977,308.803233391868,416.22287274105,451.46959359719,182.255830396731,291.478047181568,381.121251918354,"1",4.59668619246862,0.97707916597514,5.294,63.3168014406504
7,64.3098786610879,172.500586108484,77.6263924250288,217.14141676131,552.018024476609,202.477980363379,67.8285285485511,176.976125692114,398.237629170649,155.870125377233,69.2531986827598,204.082933182498,379.246312091326,178.089191302607,66.7313678743049,156.268310694247,263.607093227342,213.044953717981,76.4356846359826,114.190633410586,227.132166031341,226.9829083048,76.3120853819764,210.674206586511,258.640122806965,231.128884277507,94.1095197895834,163.957936862257,207.404392318039,149.497660480078,79.1082775093863,198.319395637956,116.139579656618,130.134278093073,84.661456012853,99.7773198969236,209.800580489869,213.802695709218,79.5039771630085,112.64042690992,112.799706849686,119.922808855845,122.805768744842,132.887024178149,316.802603875683,160.32364609106,143.637080856877,103.703381813101,170.769084894232,354.120503601035,137.139711006356,89.4992755696317,343.186294847747,194.250713427331,88.3075668801833,173.246750843206,327.582723332743,120.001100884343,55.5530470594024,120.624296619806,271.267500961838,127.052429360051,80.3553962651682,95.5374453017631,224.694622074268,227.623453266711,97.9244265236351,145.580768068371,211.560656007277,516.023288140155,168.573133593972,146.191570549559,495.617000799432,398.428810639712,101.466996008955,121.240890232776,345.791489373888,380.08405527627,136.615053263597,276.037711414552,224.878605847088,222.355536444501,154.266511304456,248.975827834528,262.342961124809,"1",4.61007531380753,0.972912535704615,5.294,66.2255934107741
8,66.1631171548117,146.659853714266,80.0634798033264,174.423918174999,253.53188454471,107.201589054176,74.9586257576753,185.319080232118,168.455858004698,166.379685557936,92.3246231649919,256.775883038833,238.379929937847,157.544578205398,71.7614839397872,141.308515824981,160.47297523613,146.488287666101,76.0700839745706,99.6580953353055,195.414488014918,110.277252775794,88.9145424721747,124.210033713582,131.109890212885,133.253033790801,91.5287365607963,266.830456571613,392.211904513066,165.596632570036,96.4887281343475,168.024054114099,152.425736784908,136.645375972582,58.3550811939783,114.495097691508,136.381837550567,162.466533245301,98.062427365982,177.90122501252,254.15334391706,154.821678356897,107.15618766425,150.526270775381,142.886410436368,157.526898781278,121.245936626956,140.798089962574,133.993132573978,302.703275319217,122.701250010093,237.937375769571,262.168435560416,181.837589215317,97.206132780529,174.876063837053,262.44773342496,121.026005718569,65.9586036458714,99.1881798474982,99.0285255179061,212.882273842121,59.7429803575527,80.6078309016193,82.7074523054934,301.148308940693,101.301702681701,89.7931079356262,163.16754435483,410.242845979865,161.30213042269,237.970686746766,242.77578898092,400.448206137587,114.701456358003,201.131239894907,219.566687242956,360.096762160551,130.400151059059,194.829757183257,269.312154025819,187.965160680362,155.929333891409,225.807168705755,448.95230672312,"1",4.57552719665272,0.96874590543409,5.294,57.2554361970378
9,63.0649874476987,179.377706168301,69.7383703902895,171.169277701983,263.594795562386,143.547253171219,61.5955063377764,119.587698042462,153.766390850754,213.433449446902,90.5664605721462,195.799989191967,215.84555641022,208.515626332508,69.5180445133968,208.261017491581,252.777590364638,193.935948522198,58.3220757723518,176.242684147864,255.802499138826,164.833473066878,68.257873468052,167.47257239503,194.980443646182,124.771495748404,72.7466642719844,132.864276975485,176.796633828399,186.521267806971,80.8350752947572,143.247322723846,205.667670950845,179.163964615662,64.3724840700199,103.739438862278,201.828270252558,150.66375507008,94.8422590082433,173.722749555113,446.918508220723,109.331817310715,77.4352134027378,170.087478826018,225.190009145415,111.841906093761,94.971605280254,124.946858325468,171.048033532554,129.825705104285,95.4044353889856,204.980093012577,216.638009650466,128.263103770798,78.455600592431,120.160653364711,244.858135610636,113.286177625734,82.8032098169841,156.255146105654,215.098607855061,144.14201290943,62.5404989695353,169.958174729118,205.788374075224,288.476985509107,95.7530054780153,187.634714103655,309.871141467513,208.768107968172,104.156537986636,252.613934514634,312.776726127547,487.167038642546,123.983648654471,188.346617036432,299.895615688991,222.646805949664,121.348309120014,262.913677790274,222.486651197692,317.665461593996,151.178935900676,171.584197288941,422.114122324855,"1",4.54546861924686,0.964579275163564,5.294,51.2983076326701
10,61.0322761506276,219.527410559542,91.7929394471204,79.2721655244941,220.486934365306,160.65979800981,82.3593579151122,94.6475610317022,244.964989991835,238.397760654483,87.1391293079923,128.087603201791,372.535924983097,216.272855856847,73.7748851022153,144.392936939994,224.657432514495,225.655866610866,74.2284457405775,171.962706706759,281.625750167593,188.292321738284,76.7535788493774,142.592710728411,168.658238010708,172.851532196097,65.4637696541847,213.580520788497,374.132192635925,147.565714930882,89.3311922564449,105.582996101914,184.804032800924,139.285676268798,62.4308208790051,72.846262822739,175.537307587857,244.036581315214,73.4987857640816,177.598311762269,313.358187053228,159.708179562042,67.1243557044979,130.704071182105,139.990943692741,146.288450847785,81.1681638220512,183.820614652845,277.623106302869,298.934546100208,94.3616772851108,137.976609989024,320.659264114863,175.099961687161,65.4854924576951,144.920357939036,263.838338735752,181.002791679862,81.2714850418347,130.940597692393,176.71916637289,147.062554847027,77.2965279464965,118.257299748142,229.734314805931,188.129614461141,88.6945316248021,136.658718482101,366.931897332367,368.82441369589,123.030370214292,174.550387491081,404.216664933218,385.127417764437,154.358400322783,107.279744167041,318.119144018093,401.162289506156,144.494032752688,219.981234258635,284.612204173673,283.419056366033,118.117191257963,202.345891078374,148.148904456585,"1",4.52630125523013,0.960412644893039,5.294,46.057597364289
