"time","HR","FP1AlphaMean","FP1BetaMean","FP1ThetaMean","FP1DeltaMean","FP2AlphaMean","FP2BetaMean","FP2ThetaMean","FP2DeltaMean","F7AlphaMean","F7BetaMean","F7ThetaMean","F7DeltaMean","F3AlphaMean","F3BetaMean","F3ThetaMean","F3DeltaMean","FzAlphaMean","FzBetaMean","FzThetaMean","FzDeltaMean","F4AlphaMean","F4BetaMean","F4ThetaMean","F4DeltaMean","F8AlphaMean","F8BetaMean","F8ThetaMean","F8DeltaMean","T3AlphaMean","T3BetaMean","T3ThetaMean","T3DeltaMean","C3AlphaMean","C3BetaMean","C3ThetaMean","C3DeltaMean","CzAlphaMean","CzBetaMean","CzThetaMean","CzDeltaMean","C4AlphaMean","C4BetaMean","C4ThetaMean","C4DeltaMean","T4AlphaMean","T4BetaMean","T4ThetaMean","T4DeltaMean","T5AlphaMean","T5BetaMean","T5ThetaMean","T5DeltaMean","P3AlphaMean","P3BetaMean","P3ThetaMean","P3DeltaMean","PZAlphaMean","PZBetaMean","PZThetaMean","PZDeltaMean","P4AlphaMean","P4BetaMean","P4ThetaMean","P4DeltaMean","T6AlphaMean","T6BetaMean","T6ThetaMean","T6DeltaMean","O1AlphaMean","O1BetaMean","O1ThetaMean","O1DeltaMean","O2AlphaMean","O2BetaMean","O2ThetaMean","O2DeltaMean","A1AlphaMean","A1BetaMean","A1ThetaMean","A1DeltaMean","A2AlphaMean","A2BetaMean","A2ThetaMean","A2DeltaMean","MediOrStory","SC","ST","Resp","HRV"
1,87.278,126.198050472425,105.717497384085,275.12661643982,518.746503204937,76.8313278021413,74.0831259181264,147.469251619332,341.599474678976,136.797202330971,94.5651797849655,192.525319509377,691.262296204388,84.1687407022688,52.4114018592529,139.219341619625,215.775698230888,104.097294531127,57.7166110577319,202.590010147202,319.690107346751,113.558719538398,97.1928295359915,207.142791928843,241.110851431927,238.99125309268,276.167653842217,252.080660739388,286.085914701344,182.497436331403,165.22122376554,126.716349697507,119.043963569134,162.157868610513,56.4085496465455,83.4274758915355,191.926702971653,140.153990281996,93.7785888005947,179.983889885953,258.261884498533,111.134175811107,67.5606306747321,138.534980679914,184.079628960529,124.945188581937,90.8052996857484,240.530730933454,791.589361402338,369.115976906618,91.0365869467258,157.413060541631,345.350429611602,347.602482545257,62.3070150085154,157.967039014879,293.79212580843,196.313634338037,70.81884373736,171.153221306485,196.566260503427,197.232721959981,77.3771451905958,169.878218131078,141.526314324484,260.122269193395,87.2105830990371,338.400155936251,585.716352333458,188.986050807737,78.8499004088103,155.937522671352,473.473181757785,140.381943544909,82.9327060588976,292.724600221347,372.582342494517,199.103012607884,148.029106753449,159.112661274116,643.469461974185,244.032405643606,198.28919545806,289.423909944563,786.084259589561,"0",1.643,18.767,20.875,0
2,79.1980356347439,236.286657868218,99.3846634345627,224.163440041411,723.770996206141,220.606818292874,90.5467731779959,137.054563634777,301.624004290613,166.828082745732,68.9237886085901,295.020901595671,286.141997227297,174.99424079531,63.7833398432773,107.215141394355,227.366107469404,187.372804686222,63.8295826017102,127.508537367571,231.701092210427,166.96666162672,69.7801282106151,143.050377505759,238.161573911893,195.869719725605,84.4001592027059,238.180766785346,324.52037881896,164.459366527846,153.579536957272,136.253689322165,144.333964502097,119.43379562007,61.1177828117251,80.7614136972659,202.460062160426,189.905294868089,57.8521563316627,163.932046924606,271.851642885238,102.396938713961,58.7535478472366,117.677634496172,131.394523548236,161.648288708645,90.5519436989903,242.38705737853,349.915859385663,180.887738184781,94.0204665599019,142.846802202803,225.808310987051,194.131660399945,75.4867916885431,180.393156522126,169.122673629843,264.679415141861,76.8550923157663,152.081993878119,165.297922327218,259.332735656253,70.3619290522124,118.274223422924,139.802436008884,350.633992612311,85.9904362209343,319.090627595521,478.607711271121,168.710156725053,80.7682086493216,157.780019670804,243.535751683122,260.824239620798,97.844432330495,165.922063147633,220.568044508218,111.10715177047,123.209686694975,234.72903807931,397.757886861825,143.873930108888,175.676890849,300.402612489912,1009.46787916125,"0",1.64999109131403,18.764004454343,20.875,65.2858241438087
3,139.723576837416,302.569269720773,110.414674585175,222.332301505738,222.967556317135,227.952668895607,81.9131756617657,213.917519683028,226.1652828538,142.620388972601,81.9899037419194,175.631212671079,249.931560010754,170.88333367359,61.7212396210503,136.830333124602,183.043962087137,250.010648468868,64.3760133422419,187.934500796179,208.980813038853,218.701831771426,63.3210999130433,140.80494635962,228.302424620059,184.331174164491,92.8066525267749,186.635055999507,274.317056228899,152.707842854804,152.191736877596,91.565088542799,136.082847521459,153.9362009942,62.695577849817,70.4823634165464,128.366981523272,176.085239863929,65.5371116779416,152.069062119311,196.443179645227,95.9654028987988,58.0025421405138,114.808355510799,113.614984497274,139.162767708088,59.6860598336895,143.152965450676,285.745475689156,272.003054565522,88.6833499797259,133.974421670668,230.220249966026,330.09925032592,87.1113152697075,143.264412703507,227.964481519397,261.542074760082,110.041821707975,167.522991793378,151.618683872301,241.725725524198,92.9410491293849,114.709045636953,173.189071437502,265.226487783358,94.1646525904711,298.659221807062,486.995799523223,184.469527255023,97.5453256348228,249.331480601245,309.875392829952,242.719923431527,111.81238988356,268.101209333323,501.668170869393,166.25122244376,140.573739170175,171.858998476704,387.210411668341,248.106529001564,208.468090788588,296.186716114848,730.346052402084,"0",1.65499109131403,18.759008908686,20.875,1864.31348101011
4,116.72334298441,373.604119963598,138.987295799978,212.5871662274,641.223684218041,302.73356920565,91.957419169841,364.970449729179,439.840602101739,323.293587206315,100.002018845903,242.783719446737,375.954235347085,221.887266292248,84.1242773106422,176.035650126282,158.070178078834,245.68946647542,82.1684510879331,235.527264383083,235.217428353878,238.28257000882,78.9032312308517,220.329138302693,301.072209012635,310.130941225152,107.354293203758,268.542075702148,996.874867918495,201.725809378839,147.502324492207,89.1407600629848,162.973898146341,212.897777939446,65.3232822854572,135.668927391113,106.512143266021,130.217991533764,86.7367126282864,134.332647679718,191.201749026576,183.713891941743,59.85877476219,112.903178280154,186.368344952549,227.484960722924,94.142458119464,106.891609428008,264.57543839156,491.05157362804,104.005154824871,207.115690737564,245.151638927202,511.809541094322,99.5835352661913,132.870450866359,220.165261923426,467.111925302884,108.128467286819,172.620925658799,192.021449602073,321.50306439985,95.5201765262943,191.173406535359,151.120806721129,199.777796441484,107.87939601922,369.842232580411,302.39132911077,363.152194245235,88.9627490638501,238.624067707008,320.611450501612,270.232987158099,122.801134202745,373.763740335144,323.090334245719,398.500786744794,150.072602387774,377.10770698998,736.879887692904,267.813006383243,153.69609768798,335.246925197401,813.789083387774,"0",1.65899331848552,18.7570066815145,12.6920423162584,1419.21257310441
5,116.515,285.04922674203,99.7275343981364,156.285631738844,624.04862667102,313.485621610821,98.4055080860993,231.781142424412,354.439848932855,237.22964400672,96.6923064675991,231.920709061926,352.495052646631,141.245813573587,76.4101630748243,225.248674409561,194.583325113961,210.947580425488,74.7475134849843,273.439399767832,323.865614252621,230.287412553773,88.539848389849,129.447066425871,198.515002275101,287.779281351624,97.4575475102714,171.768771642135,519.39702529119,232.768431054568,135.807275784901,141.598698436913,165.077291069172,337.398232675309,70.7874253237382,148.847842064649,130.945185147757,147.331279020614,103.728488158199,242.23514006987,266.002217951684,202.273866574246,65.5266565784665,155.92084784844,186.618935440501,310.35415115213,75.2071465630688,111.069034761797,302.79856391291,551.724838642526,99.6724073241244,154.467959201742,258.771538465874,587.594650967646,92.408906708042,143.839012565299,300.557044679536,338.02301388443,97.6344505968027,230.383207927568,184.593351872298,236.886692232748,86.6567106834594,274.604821241306,199.471227920234,343.077738696298,95.0635794100602,303.935188248948,334.555952651807,387.602267676944,82.2842150922933,220.089005715284,233.879792861776,258.789438971333,108.281195115291,313.741320109471,273.586301818478,394.643267879294,162.979176032556,280.764889804876,804.062312217289,322.867375390912,205.327651538981,382.816117116496,925.160912986462,"0",1.66298218262806,18.757,12.637,1064.42028152809
6,79.1899777282851,213.954877115086,92.9183149363148,292.181372886577,535.280106181123,233.24466826978,72.831679926336,285.178653267869,230.857503896686,148.975932755265,87.3043495827364,247.324869148683,482.708642777791,117.426307868995,71.2843308982576,155.221569328549,159.47607840088,152.415909206493,63.1791899819784,217.515481424041,230.550137578827,156.377496412003,65.0053757994914,186.141807131184,262.216235866613,209.788553127322,99.3640004870313,198.187382578187,472.349383470293,164.591017955235,129.378798716817,186.738334433875,171.776924096069,169.298622573156,63.7973577895067,133.262532666587,190.790931483867,163.317511643629,101.428765056887,183.119682894292,179.08648271462,88.7721884087244,59.6362521488709,111.621335625904,151.141377490112,133.111537670061,80.9547936796475,134.868301426128,266.401257495111,273.194684366641,69.6058801211416,211.583640362475,231.889281779698,239.984870306894,87.0960851743587,139.819909252925,232.140088947351,171.755269088926,81.8390183413836,154.846048166128,230.469001942333,176.574213699851,82.1920128562695,160.886659218137,157.119162718423,273.454839251099,94.6893493919994,431.835227396206,413.549177614362,162.177114432191,101.855105096718,165.076526277897,329.71815748849,177.435396211944,102.059638167666,222.595441967224,252.327238316677,510.026270644621,140.337065861719,356.774474961664,450.161414991042,220.955471729435,149.790483182716,306.820831607537,707.478446988457,"0",1.66597892981809,18.757,12.637,1130.16768273928
7,79.9939755011136,313.522069645212,113.490356333325,208.10975528005,649.312924602609,267.457390941165,86.4149330621567,169.665280661121,248.208056704541,148.897352955948,91.4282666372383,182.279248622649,405.27312859657,132.716572802888,82.4851192632089,134.782636355589,167.250671924,232.075823459707,70.8927609683015,153.50846234637,147.632492651179,215.808995643306,64.2910389134978,206.186040264132,160.243936297375,215.452575042897,85.4274933483512,315.84191009228,1215.06100372119,196.338693081743,144.230183716683,129.925508896373,128.309252433559,225.267587315938,67.3434055694829,171.804964131868,180.558656032857,218.336415128869,95.8188673443939,207.487638928714,217.645130381338,184.63293541166,59.9043225245718,148.451834185177,108.638154868629,168.389376520634,65.1933514355343,100.293033943914,364.986321794259,474.373927111268,75.9477140218296,170.027729455689,550.724742319773,418.574702324277,83.7673972394402,144.301243381994,320.364989903619,258.79227369893,101.012684143158,250.08121302292,175.207594050834,258.180641908157,105.358409459048,222.879116046832,113.391294999368,250.984180702827,99.2889253142896,203.651344266944,472.648151543628,349.870893518515,96.6470759696239,204.604328700226,187.189988493894,230.878530231735,121.220432768711,206.658512010045,269.714619023072,342.326718430853,117.022814324642,396.131146053163,1065.44698585269,240.607496104529,168.534298186675,206.632273222133,994.56376746968,"0",1.66997327394209,18.757,12.637,941.91413768585
8,80.005,205.444519808683,98.6853766933928,258.024250546576,275.836834251226,255.816154118381,98.5355499609203,256.052862406469,167.327237256806,224.065268041594,90.208088025585,213.587877825628,242.593395654142,150.059096337964,72.8693808526565,109.554726511012,110.600112817544,257.167775604161,86.8340737241365,196.429682616344,197.401214387311,267.632494234,75.8530571634412,160.997229395173,254.553137459913,196.13906044621,103.305731235843,285.783387105028,666.583716669474,254.176621864668,122.521019183618,114.345129709032,136.782892826064,219.495513112541,62.1462248404931,113.482694195219,123.095819477032,192.808009723112,80.3756340631868,178.841795103208,176.713013382106,188.139832874678,52.0800886881113,197.718051982301,110.451499934798,197.619467499483,82.3474971567174,250.109187556812,387.57752292733,549.910492657352,106.388965226376,284.946254006927,414.643779533727,495.649199369642,86.4819398036154,179.843321314826,245.488549632791,316.259108002086,100.333646128737,175.517314516356,141.175327479196,259.819007327892,80.6546567647934,235.183967279896,207.397263043281,281.924897937588,85.7830224767027,220.823364272505,407.205059377034,314.677658836846,94.3683285057915,311.519083255575,272.070527820958,205.42618063654,111.302645365989,259.344230275934,400.466270782065,365.314809923868,139.313733614856,344.970258554816,592.836344149594,209.653728980692,164.534338954828,254.559510015546,410.427283257328,"0",1.67296881959911,18.758,16.4958864142539,807.354992522096
9,58.553,290.402977892962,115.012988664883,454.246560428586,271.607228839182,244.113604724422,109.113167661408,428.152622539237,265.39480942013,202.910053201207,55.6949815701006,182.947545524954,351.615586241379,140.006298562204,57.3164157893127,141.829172581158,140.514519810042,166.834219842868,64.2974947106607,274.981897238261,110.648595580243,183.678823101289,81.5546376338966,332.77880969287,164.405364104934,175.123097362014,85.647389259822,402.658766400882,581.111955062271,224.068589259808,136.262696866958,176.330906592621,202.237739953954,113.579957934014,59.9749075527763,157.197577091616,197.023516216008,175.557274324065,92.3023224303809,227.69044781174,174.289581944522,146.029075338468,72.2561899491635,150.950631618901,89.3796211784434,215.579088068512,70.2779633526526,212.480501790893,208.742817355667,356.934081172356,99.1324786588658,316.714971065726,316.07647586032,285.036775876177,71.9069881780083,167.041623136331,182.66715517908,221.182002094465,71.9295137265886,248.942162058334,135.827375124181,172.633055226181,78.1674395943179,231.993187983255,121.650258781733,155.880742140563,98.2155066976046,322.152949172548,284.664932053437,300.84085939919,79.0427739933594,220.495888867333,156.39083383061,113.670033624908,98.50635981017,308.501547368766,259.846853551651,335.574881674074,159.926370105744,421.631132606171,442.194797213513,338.999215301182,186.613522428749,423.376972410141,804.211698908157,"0",1.67398218262806,18.758,16.557,763.959156456834
10,58.553,201.023347824793,85.8445752108887,254.946001210923,406.953864753694,237.529521551098,87.9013254961535,299.618252034605,302.40680714513,152.261790276995,86.3516985645801,304.523525964103,287.265684198736,105.612105252674,62.8867272797804,88.974776910667,164.428996674095,116.06376418278,65.7931183462907,94.0704741606799,198.242338597834,202.051007590765,59.0340914020101,110.040346102089,140.469593470647,272.230002333198,92.9773454006989,300.489631194868,379.776374322321,260.4568067177,127.558601124046,121.388052734787,175.600671037651,277.824637248951,59.8426763782959,102.317910027045,97.9462394666915,160.317785495602,80.573209505271,203.81492066681,112.664103079171,170.608309769142,58.6742540335913,136.368020348463,120.543513764524,179.57877808729,59.0499085256928,188.693997720917,282.680605140067,416.64921703683,81.7362664083216,152.25221350751,459.925187186407,367.962401055114,68.9411475865238,195.300398475663,167.043156642473,261.468576289358,67.732936142949,135.357266933781,135.859190366331,262.40609764542,78.8264540316324,138.302566658236,145.798971574277,220.942717116983,86.1321882104431,193.0991239117,430.144288337099,198.318683330407,69.2749143172833,232.10696866554,211.938581770384,173.431060682202,123.668139237626,266.049586029244,274.299958351712,336.542381860462,118.107604505703,350.748867704376,642.308465809802,248.94882770999,153.454142631493,323.315990771879,545.907210985426,"0",1.673,18.758,16.557,679.074805739408
